"Контрагент","Итого","max"
ЭНЕРГИЯ-ПЛЮС ООО,214644.28,C
"ТАУ-ЭЛЕКТРО ООО, Тольятти",214002.65,C
"ФИ-ПРОМ ООО, Барнаул",212959.85,C
ЭкибастузЭнерго ТОО (КАЗАХСТАН),212829.58,C
АЛЬФА-43 ООО,210640.86,C
"ПИ-СТРОЙ ООО, Краснодар",210364.74,C
ЕВРАЗИЯ-ПРОД ООО,209795.58,C
АЛЬФА-18 ООО,207980.78,C
"СИГМА-ЭЛЕКТРО ООО, Тюмень",206932.22,C
ИвановоЛогистика ООО (БЕЛАРУСЬ),205770.11,C
КобринСервис ТОО (АРМЕНИЯ),205660.43,C
НептунМед ООО (УЗБЕКИСТАН),205152.12,C
ИвацевичиФинанс ООО (БЕЛОРУСЬ),204788.58,C
ЭТА-КОМ ООО,204180.65,C
ВеткаСервис АО (МОЛДОВА),197742.16,C
"ООО ""АКСАИТОВНЕФТЬ""",195541.24,C
ГАММАЭНЕРГО ООО,195475.39,C
АЛЬФА-33 ООО,195228.94,C
АЛЬФА-ТРАНС ООО,194038.08,C
"БЕТА-МАШ ООО, Санкт-Петербург",192721.98,C
ЩукаЭнерго ООО (УЗБЕКИСТАН),191850.69,C
ЯмалФарма АО,191471.41,C
РО-ПЛЮС ООО,190912.68,C
АЛЬФА-30 ООО,188751.95,C
КостюковичиМаш АО (РОССИЯ),186296.32,C
КлимовичТех ТОО (ТУРКМЕНИСТАН),182964.03,C
СтолинТранс АО (ГРУЗИЯ),182939.34,C
КобринФарма ООО (БЕЛАРУСЬ),182211.81,C
СлавгородПроект ТОО (КИРГИЗИЯ),181440.00,C
БелгородТранс ТОО (КАЗАХСТАН),181389.09,C
БраславЛогистика ТОО (АРМЕНИЯ),181094.69,C
КостюковичиЛогистика АО (МОЛДОВА),180549.07,C
ДОН-МАШ ООО,180534.96,C
МиорыПроект ООО (УЗБЕКИСТАН),178162.72,C
ПинскКом АО (БЕЛАРУСЬ),178146.32,C
"РО-КОМ ООО, Саратов",176774.79,C
ЧаусыТех ТОО (ТУРКМЕНИСТАН),174186.60,C
ФУНДАМЕНТ-КОМ ООО,173454.49,C
"НЮ-ИНВЕСТ ООО, Воронеж",170313.56,C
КобринТех ТОО (ТУРКМЕНИСТАН),170118.95,C
ГАЗ-ПРОМ ООО,169973.33,C
ЛунаСтроительство ТОО (КАЗАХСТАН),165510.49,C
УНИКОН ООО,165248.48,C
ЧукоткаИнновации АО,163155.59,C
"ООО ""РОБОКОМ""",161795.34,C
"ТЕТА-ПЛЮС ООО, Омск",158109.15,C
МикашевичиИнновации ООО (АЗЕРБАЙДЖАН),157595.67,C
ОмскСтроительство ООО (УЗБЕКИСТАН),154688.69,C
ЭПСИЛОН-ПЛЮС ООО,154156.50,C
МЮ-ИНВЕСТ ООО,152980.73,C
"НЮ-ЭНЕРГО ООО, Воронеж",152936.60,C
КлимовичиКонсалт ТОО (КАЗАХСТАН),152608.23,C
ЙОТА-ТОРГ ООО,151922.06,C
БобруйскКом ТОО (ТУРКМЕНИСТАН),151557.43,C
ЗАКАВКАЗЬЕ ООО,151298.99,C
ОршаСервис АО (МОЛДОВА),151065.13,C
ХакасияФарма АО,148724.69,C
"ООО ""ПЕСТ""",148251.16,C
БыховМед ТОО (КИРГИЗИЯ),147255.77,C
КлимовичМаш ООО (ТАДЖИКИСТАН),143144.98,C
КлимовичиТрейд ООО (АЗЕРБАЙДЖАН),141978.05,C
КамчаткаТрейд ООО (АЗЕРБАЙДЖАН),141340.65,C
ЕльскКом АО (БЕЛАРУСЬ),141014.56,C
ЗЕТА-ПЛЮС ООО,137596.57,C
ОМИКРОН-СТРОЙ ООО,137054.69,C
НовосибирскФарма АО (РОССИЯ),133400.01,C
ЗапорожьеКонсалт ТОО,132102.94,C
"ОМИКРОН-КОМ ООО, Волгоград",130351.61,C
СлуцкТранс ООО (АЗЕРБАЙДЖАН),130099.57,C
НаровляЛогистика ТОО (АРМЕНИЯ),127931.82,C
ШкловЭнерго ТОО (ТУРКМЕНИСТАН),126389.49,C
"ЭПСИЛОН-ИНВЕСТ ООО, Нижний Новгород",125923.20,C
"ДЕЛЬТА-ИНВЕСТ ООО, Новосибирск",125597.65,C
БорисовКонсалт ТОО (КАЗАХСТАН),123384.74,C
УльяновскФинанс АО (МОЛДОВА),123365.12,C
"ООО ""АВТО-ГРУПП""",122313.07,C
БИО-КОМ ООО,122145.19,C
ДЕЛЬТА-СТРОЙ ООО,122045.46,C
КостюковичиЛогистика АО (БЕЛАРУСЬ),121669.88,C
ВИКТОРИЯ-КОМ ООО,119459.12,C
ЖодиноЭкспорт ТОО (БЕЛАРУСЬ),118771.57,C
ОмегаТех АО (РОССИЯ),117841.20,C
МстиславльЭкспорт АО (БЕЛАРУСЬ),115208.28,C
КомаринФарма АО (БЕЛАРУСЬ),115029.48,C
ПинскСервис ООО (БЕЛАРУСЬ),114527.58,C
ГАММА-ЭЛЕКТРО ООО,112889.02,C
"ДЕЛЬТА-ТОРГ ООО, Новосибирск",111931.46,C
СИГМА-ИНЖ ООО,111249.24,C
ВОЛГА-ЭНЕРГО ООО,110972.16,C
"КСИ-МАШ ООО, Пермь",110944.80,C
ЗЕТА-ЭНЕРГО ООО,110078.34,C
ВЕТЕР-ЭЛЕКТРО ООО,109682.08,C
АЛЬФА-40 ООО,109629.28,C
ШтормФарма АО (РОССИЯ),107725.39,C
СлуцкМед ООО (УЗБЕКИСТАН),107401.69,C
СигмаСтроительство ТОО,106193.51,C
ГлубокоеМед ООО (УЗБЕКИСТАН),104517.48,C
УРАЛШИНА ООО,104481.25,C
КсиЭкспорт ТОО,103982.80,C
"ФИ-ИНЖ ООО, Барнаул",102330.07,C
ЖодиноИндустрия АО (МОЛДОВА),101382.18,C
ШкловТранс АО (ГРУЗИЯ),101157.06,C
БАЛТИКА-ТРАНС ООО,101083.22,C
СтолбцыЛогистика ТОО (АРМЕНИЯ),100956.40,C
КостюковичиЭнерго ООО (БЕЛАРУСЬ),99709.21,C
ПРИМОРЬЕ-ИНВЕСТ ООО,99319.24,C
"СИГМА-ПЛЮС ООО, Тюмень",98760.48,C
ШкловТрейд ТОО (КАЗАХСТАН),97906.25,C
ОМЕГА-ПЛЮС ООО,97904.18,C
УшачиКом ООО (ТАДЖИКИСТАН),97754.92,C
БЕТА-ЭЛЕКТРО ООО,97515.43,C
"ООО ""ГАЛАКТИКА""",96052.21,C
НаровляИндустрия ООО (БЕЛОРУСЬ),95891.04,C
КраснопольеФарма ООО (УЗБЕКИСТАН),95191.63,C
ТайгаМаш ООО (ТАДЖИКИСТАН),94587.93,C
ЧаусыМаш ТОО (ТУРКМЕНИСТАН),94329.22,C
ОмегаКонсалт ТОО,94104.21,C
МиорыКонсалт АО (ГРУЗИЯ),94083.55,C
ХотимскМед ТОО (КИРГИЗИЯ),93367.61,C
ЭПСИЛОН-ЭНЕРГО ООО,90959.80,C
ЛиозноЭкспорт АО (УКРАИНА),90749.83,C
КостюковичиТех ООО (ТАДЖИКИСТАН),90170.73,C
ЕВРОПА-ТОРГ ООО,89749.26,C
"АЛЬФА-47 ООО, Москва",88823.50,C
ЕльскИнновации ТОО (КАЗАХСТАН),88677.76,C
"ДЕЛЬТА-КОМ ООО, Новосибирск",88315.69,C
КраснопольеКом ТОО (БЕЛАРУСЬ),87592.99,C
НЮ-ИНЖ ООО,87127.60,C
ЭкваторТранс ТОО,87044.24,C
ТуровТранс ТОО (КАЗАХСТАН),85782.16,C
ОсиповичиИнновации ООО (БЕЛАРУСЬ),85287.50,C
НОВОСИБИРСК ООО,84240.00,C
ЛАМБДА-ПЛЮС ООО,84131.17,C
КокшетауКонсалт ТОО (КАЗАХСТАН),84122.73,C
МогилевЭкспорт АО (БЕЛАРУСЬ),83270.40,C
КалинковичиСервис АО (МОЛДОВА),81937.64,C
РАЗВИТИЕ-ТЕХ ООО,81748.26,C
ЧериковКом АО (РОССИЯ),81203.50,C
ООО «ЭКСЕРГИЯ-Л»,80675.92,C
ТАУ-ПРОМ ООО,79857.00,C
САМАРА-ТОРГ ООО,79724.22,C
ИвацевичиИнвест АО (БЕЛАРУСЬ),79604.52,C
ЕнисейКом АО (УКРАИНА),79028.66,C
"КСИ-ИНВЕСТ ООО, Пермь",78278.40,C
"СИГМА-КОМ ООО, Тюмень",78020.60,C
КАППА-ЭЛЕКТРО ООО,77556.67,C
ХойникиКонсалт АО (ГРУЗИЯ),76841.49,C
БерезаСервис АО (БЕЛАРУСЬ),76822.26,C
ВитебскМаш ТОО (ТУРКМЕНИСТАН),76524.78,C
ЦЕНТР-ИНЖ ООО,75471.36,C
МстиславльМед АО (УКРАИНА),75466.97,C
"ТЕТА-КОМ ООО, Омск",75351.53,C
"КБ ""АРСЕНАЛ"" ООО",74862.43,C
ОМИКРОН-ИНЖ ООО,74371.27,C
"ЙОТА-СТРОЙ ООО, Самара",74321.20,C
ЗЕТА-КОМ ООО,72921.62,C
ХотимскЭнерго ТОО (ТУРКМЕНИСТАН),72918.33,C
ЛИГА-СТРОЙ ООО,72430.00,C
ХИМ-ПРОМ Екатеринбург ООО,72337.46,C
СтолбцыТрейд АО (БЕЛАРУСЬ),72221.48,C
"ГАММА-КОМ ООО, Екатеринбург",71006.92,C
ХантыМансийскийТех ТОО,70729.88,C
ГаммаТех АО (ГРУЗИЯ),70091.14,C
ДубровноМаш АО (РОССИЯ),69412.65,C
ДубровноСервис ООО (БЕЛОРУСЬ),69267.69,C
РО-ТОРГ ООО,68531.63,C
"ХИ-КОМ ООО, Иркутск",68356.22,C
КрымЛогистика ОАО,68310.98,C
АЛЬФА-8 ООО,68007.24,C
ЛЕНИНГРАД ООО,67898.14,C
ХИ-МАШ ООО,67884.42,C
ОрелПроект АО (УКРАИНА),67705.57,C
ТуровПроект АО (БЕЛАРУСЬ),67668.57,C
СтолинМед ТОО (БЕЛАРУСЬ),67506.98,C
ГлускМед ТОО (БЕЛАРУСЬ),67410.74,C
ЛюбаньМед ООО (УЗБЕКИСТАН),67403.54,C
КлимовичиСервис ТОО (АРМЕНИЯ),67166.71,C
НИЖНИЙ НОВГОРОД ООО,67135.25,C
КалинковичиКом ООО (ТАДЖИКИСТАН),66996.99,C
СмоленскКонсалт ООО,65692.64,C
КабардиноБалкарияСервис ООО,65416.46,C
МАГНИТ-СТРОЙ ООО,65371.99,C
ОдессаТех ООО,65121.32,C
"КАППА-ПЛЮС ООО, Ростов-на-Дону",64622.16,C
ГАММА-ИНВЕСТ ООО,64065.50,C
ГлубокоеИнновации ТОО (КАЗАХСТАН),63699.38,C
ГоркиИнвест АО (БЕЛАРУСЬ),63618.16,C
ХиМед ООО (БЕЛОРУСЬ),63597.08,C
ГродноТех АО (БЕЛАРУСЬ),62919.44,C
ТРУД-МАШ ООО,62581.80,C
"ОАО ""АЛТТРАК""",61350.29,C
ПИОНЕР-СТРОЙ ООО,61319.46,C
РО-ИНЖ ООО,60762.26,C
КостюковичиСервис АО (БЕЛАРУСЬ),60707.46,C
ХойникиТранс ТОО (КАЗАХСТАН),60677.04,C
"СИГМА-СТРОЙ ООО, Тюмень",60148.76,C
СенненскийМед ООО (УЗБЕКИСТАН),59714.94,C
ЧечерскЭкспорт ТОО (КИРГИЗИЯ),59646.50,C
ПермьЭнерго ООО,59127.12,C
"ЗЕТА-СТРОЙ ООО, Казань",59036.58,C
ЛИНИЯ-СЕРВИС ООО,58354.18,C
САТУРН-ТОРГ ООО,58329.87,C
ДрогичинЭкспорт АО (БЕЛАРУСЬ),58200.77,C
УНИКА-СТРОЙ ООО,58044.92,C
ЛьвовКом АО,56988.93,C
БрагинМаш ООО (ТАДЖИКИСТАН),56950.27,C
ФИ-КОМ ООО,56471.10,C
АЛЬФА-42 ООО,56175.44,C
АЛЬФА-50 ООО,56120.92,C
МстиславльФарма ТОО (КИРГИЗИЯ),56092.57,C
УРАЛ-МАШ ООО,56017.49,C
КосмосФинанс ТОО,55413.11,C
СлуцкИнвест АО (БЕЛАРУСЬ),55202.42,C
МЮ-ЭЛЕКТРО ООО,54591.06,C
КостюковичиМед ООО (УЗБЕКИСТАН),54155.92,C
ТатарстанКонсалт ТОО,53653.43,C
ДЕПО-ТЕХ ООО,53527.67,C
"ИПСИЛОН-ЭЛЕКТРО ООО, Ижевск",52587.07,C
ОмскКонсалт АО,52045.57,C
НесвижФарма АО (УКРАИНА),50974.09,C
ТолочинЭнерго ТОО (ТУРКМЕНИСТАН),50701.50,C
ВеткаЛогистика ТОО (АРМЕНИЯ),50590.42,C
ТалдыкорганИнновации АО (ГРУЗИЯ),50563.31,C
КлимовичиКом АО (РОССИЯ),49763.93,C
"ЛАМБДА-СТРОЙ ООО, Уфа",49760.46,C
ПружаныФарма ООО (УЗБЕКИСТАН),49645.35,C
ОршаТрейд ООО (БЕЛАРУСЬ),49087.94,C
СлуцкФарма АО (БЕЛАРУСЬ),48999.30,C
"ОМЕГА-ПРОМ ООО, Владивосток",48889.80,C
КлимовичиСервис ООО (БЕЛОРУСЬ),48811.73,C
АЛЬФА-7 ООО,48777.41,C
СтолинЛогистика ООО (БЕЛАРУСЬ),48481.57,C
АЛЬФА-11 ООО,48027.16,C
ПРОГРЕСС-ИНВЕСТ ООО,47702.83,C
"ЭТА-ИНВЕСТ ООО, Челябинск",47571.33,C
АЛЬФА-25 ООО,47551.06,C
"ХИ-ИНЖ ООО, Иркутск",47073.94,C
ЛямбдаФинанс ОАО,46738.16,C
СлуцкФарма ТОО (КИРГИЗИЯ),46729.69,C
НИКОЛЬ-ТОРГ ООО,46629.25,C
ГоркиЛогистика ООО (БЕЛОРУСЬ),46542.60,C
НовополоцкТрейд ООО (АЗЕРБАЙДЖАН),46389.23,C
АЛЬФА-41 ООО,46204.21,C
"ЭТА-ЭЛЕКТРО ООО, Челябинск",45795.96,C
НЮ-МАШ ООО,44709.26,C
ОМИКРОН-ТОРГ ООО,44502.93,C
"ОМИКРОН-МАШ ООО, Волгоград",44277.84,C
"АКБ ""Акция"" ОАО",44142.15,C
ЕкатеринбургИндустрия АО (МОЛДОВА),43731.83,C
ТолочинФинанс ООО (БЕЛОРУСЬ),43711.45,C
"НЮ-ТОРГ ООО, Воронеж",43659.52,C
РоссоныЭкспорт АО (УКРАИНА),43513.20,C
МогилевТрейд ООО (АЗЕРБАЙДЖАН),43238.39,C
МикашевичиИнвест АО (БЕЛАРУСЬ),42426.17,C
МстиславльПроект АО (УКРАИНА),42401.99,C
КировскФинанс ООО (БЕЛОРУСЬ),42296.70,C
ПинскМаш ТОО (ТУРКМЕНИСТАН),41930.40,C
КостюковичиЛогистика ООО (БЕЛАРУСЬ),41907.47,C
ПЛАНЕТА-ИНВЕСТ ООО,40976.39,C
СатурнСтроительство ООО,40932.41,C
ПолоцкТех ООО (БЕЛАРУСЬ),40582.26,C
"ЗЕТА-ТОРГ ООО, Казань",40399.35,C
АЛЬФА-16 ООО,40363.13,C
БрагинСервис ООО (БЕЛОРУСЬ),40237.40,C
ФИ-ИНВЕСТ ООО,40066.90,C
КраснопольеЭкспорт ТОО (КИРГИЗИЯ),39987.55,C
БыховЭкспорт ООО (УЗБЕКИСТАН),39942.07,C
ГлускФинанс АО (МОЛДОВА),39889.32,C
РО-ПРОМ ООО,39580.80,C
"МЮ-ТОРГ ООО, Красноярск",39577.04,C
ДубровноЭкспорт ООО (УЗБЕКИСТАН),39267.31,C
ЙОТА-МАШ ООО,39256.21,C
АЛЬФА-36 ООО,39236.07,C
КопыльИндустрия АО (МОЛДОВА),39096.89,C
БАЙКАЛ-ЭНЕРГО ООО,39094.87,C
ПавлодарМед АО (УКРАИНА),38748.07,C
"АКБ ""АЗИМУТ"" (ПАО)",38424.77,C
ЛюбаньТрейд АО (ГРУЗИЯ),38328.95,C
ЛепельЭкспорт ТОО (КИРГИЗИЯ),37844.35,C
ТолочинКом ТОО (БЕЛАРУСЬ),36424.65,C
"ИПСИЛОН-ПЛЮС ООО, Ижевск",36281.28,C
КСИ-ПРОМ ООО,36124.96,C
СенненскийТранс ООО (АЗЕРБАЙДЖАН),36078.24,C
ПСИ-ЭНЕРГО ООО,36052.38,C
ХабаровскИндустрия АО,35756.23,C
ИПСИЛОН-СТРОЙ ООО,35383.78,C
АЛЬФА-2 ООО,35363.97,C
АЛЬФА-13 ООО,35262.94,C
"ОМЕГА-ПРОМ ООО, Владивост",35090.97,C
НесвижЭкспорт ТОО (КИРГИЗИЯ),33771.96,C
ЧашникиИндустрия АО (МОЛДОВА),33535.98,C
"ЛАМБДА-КОМ ООО, Уфа",33488.46,C
ТИТАН-МАШ ООО,33438.00,C
ДонецкФарма ТОО (КИРГИЗИЯ),33272.40,C
ГоркиКом АО (РОССИЯ),33267.02,C
ИвановоТех ООО (ТАДЖИКИСТАН),33218.14,C
ТываТрейд АО,32984.59,C
"ЗАО ""ГК ""АСТОРИЯ""",32930.78,C
АЛЬФА-6 ООО,32765.52,C
МстиславльТранс АО (ГРУЗИЯ),32374.42,C
КраснопольеМед ООО (БЕЛАРУСЬ),32188.08,C
КомаринФарма ТОО (КИРГИЗИЯ),32049.67,C
АЛЬФА-39 ООО,32046.96,C
ТЕТА-ПРОД ООО,31829.92,C
БетаИнвест ТОО (АРМЕНИЯ),31550.62,C
ЦИТАДЕЛЬ-СТРОЙ ООО,31538.99,C
"ОМЕГА-ЭНЕРГО ООО, Владивосток",31517.08,C
БраславТех АО (РОССИЯ),31491.00,C
АЛМАЗ-СТРОЙ ООО,31291.44,C
ФИНАРОЗ+ ООО,31260.24,C
ЙОТА-ИНВЕСТ ООО,31227.50,C
ЧаусыКом АО (БЕЛАРУСЬ),31109.83,C
HIDE CAP,31011.44,C
ЕльскМед ООО (УЗБЕКИСТАН),30894.73,C
ИвановоТрейд ООО (БЕЛАРУСЬ),30388.66,C
КиевФинанс ООО (БЕЛОРУСЬ),30372.83,C
ЭТА-МАШ ООО,29831.54,C
"РО-СТРОЙ ООО, Саратов",29451.48,C
ГоркиЭкспорт АО (БЕЛАРУСЬ),29085.07,C
НЮ-ЭЛЕКТРО ООО,28837.56,C
МЕТРО-ЭНЕРГО ООО,28480.24,C
ПсиЛогистика ТОО (КАЗАХСТАН),28306.59,C
СтарыеДорогиФинанс ТОО (АРМЕНИЯ),28232.52,C
"МЮ-ПРОД ООО, Красноярск",28215.74,C
МЮ-КОМ ООО,28187.36,C
"РО-МАШ ООО, Саратов",27978.97,C
ХойникиПроект ООО (УЗБЕКИСТАН),27818.08,C
"ООО КБ ""КАПИТАЛ КРЕДИТ""",27775.08,C
ГОРИЗОНТ-ТОРГ ООО,27749.29,C
НовополоцкФарма АО (УКРАИНА),27500.00,C
КобринМед ООО (БЕЛАРУСЬ),27417.46,C
ТАУ-КОМ ООО,27115.78,C
БыховИнновации АО (ГРУЗИЯ),27089.95,C
ИПСИЛОН-ПРОМ ООО,26661.63,C
"БЕТА-КОМ ООО, Санкт-Петербург",26627.89,C
АЛЬФА-15 ООО,26227.90,C
КлимовичиМед ТОО (БЕЛАРУСЬ),26218.86,C
ГЛОБУС-ТРАНС ООО,26164.29,C
ЕНИСЕЙ-ПРОД ООО,25804.46,C
ПСИ-МАШ ООО,25577.28,C
ДонЭнерго ОАО,25280.40,C
ЛАМБДА-МАШ ООО,25271.00,C
ШтормФарма АО,24986.02,C
"АО ""АВТОТОР""",24387.42,C
СтолинПроект ТОО (КИРГИЗИЯ),24305.94,C
"ООО ""ГП ТРАНС 48""",24208.94,C
ДЕЛЬТА-ЭЛЕКТРО ООО,24191.88,C
ЗАО «Корпорация Малком» ,24121.24,C
СтолбцыКом ООО (ТАДЖИКИСТАН),24043.56,C
ТуркестанТрейд ООО (КАЗАХСТАН),23692.99,C
АЛЬФА-СТРОЙ ООО,23634.20,C
ЛяховичиЭнерго ООО (ТАДЖИКИСТАН),23594.58,C
АЛЬФА-5 ООО,23514.39,C
ЭПСИЛОН-ЭЛЕКТРО ООО,23486.84,C
ТЕТА-ЭНЕРГО ООО,23290.43,C
ФИ-СТРОЙ ООО,22573.82,C
"ОМИКРОН-ИНВЕСТ ООО, Волгоград",22073.30,C
НовополоцкЭкспорт АО (БЕЛАРУСЬ),22032.40,C
СТРОЙКОМ ООО,21895.95,C
НЕВА-КОМ ООО,21876.92,C
НЕФТЬ-ПРОД ООО,21835.24,C
ВЕЛИКИЙ НОВГОРОД ООО,21618.38,C
"ООО ""ЭЛИТСТРОЙ""",21372.84,C
"ЛАМБДА-ТОРГ ООО, Уфа",21351.94,C
ИНФОРМ-КОМ ООО,21123.88,C
ЛунаМед АО,20978.13,C
ОМЕГА-49 ООО,20897.05,C
ЙОТА-ПРОД ООО,20863.20,C
МстиславльКонсалт ТОО (КАЗАХСТАН),20740.68,C
ЛЕС-ИНВЕСТ ООО,20622.60,C
ДрогичинИнновации АО (ГРУЗИЯ),20596.44,C
БрагинФинанс ТОО (АРМЕНИЯ),20498.40,C
БЕЛГОРОД-СТРОЙ ООО,20381.52,C
"БЕТА-ЭНЕРГО ООО, Санкт-Петербург",20297.79,C
"ОМЕГА-СТРОЙ ООО, Владивосток",19895.84,C
ТуровФарма АО (УКРАИНА),19842.26,C
КлимовичиЭнерго ООО (ТАДЖИКИСТАН),19841.95,C
АЛЬФА-38 ООО,19838.90,C
БЕТА-ИНВЕСТ ООО,19043.46,C
РоссоныЭнерго ООО (БЕЛАРУСЬ),18900.00,C
БЕТА-ТОРГ ООО,18880.62,C
ЖемчугМаш ООО (АЗЕРБАЙДЖАН),18653.77,C
СИБИРЬ-ЭЛЕКТРО ООО,18576.63,C
ВитебскИндустрия ООО (БЕЛОРУСЬ),18443.83,C
РоссоныТрейд АО (ГРУЗИЯ),18350.20,C
ЛАМБДА-ИНВЕСТ ООО,18335.65,C
"ЗЕТА-ЭЛЕКТРО ООО, Казань",18317.46,C
СИГМА-ТОРГ ООО,18307.94,C
УшачиЛогистика АО (БЕЛАРУСЬ),18059.40,C
ЦИВИЛИЗАЦИЯ ООО,17980.64,C
ОсиповичиИнновации ТОО (КАЗАХСТАН),17967.85,C
МогилевСервис ТОО (АРМЕНИЯ),17966.41,C
УНИВЕРСАЛ СП ООО,17422.18,C
ВЕКТОР-ПЛЮС ООО,17383.74,C
КировскИндустрия АО (БЕЛАРУСЬ),17235.90,C
ПинскИндустрия ООО (БЕЛОРУСЬ),17218.98,C
РАДИУС-ЭЛЕКТРО ООО,17200.00,C
ПСИ-ИНВЕСТ ООО,17133.73,C
ФЕДЕРАЛ-КОМ ООО,17073.50,C
"ЭПСИЛОН-ТОРГ ООО, Нижний Новгород",16906.87,C
АЛЬФА-28 ООО,16899.89,C
ЕльскЭкспорт ТОО (БЕЛАРУСЬ),16725.71,C
ГлускМаш ТОО (ТУРКМЕНИСТАН),16492.56,C
НЮ-СТРОЙ ООО,16328.78,C
АЛЬФА-БЕТА ООО,16209.94,C
ЛепельИнновации ООО (АЗЕРБАЙДЖАН),16084.48,C
ПИ-ЭЛЕКТРО ООО,16056.95,C
РУБИН-ТЕХ ООО,15989.76,C
ЙОТА-ЭНЕРГО ООО,15910.41,C
"ФИ-ПЛЮС ООО, Барнаул",15833.48,C
ОрелТех АО,15767.69,C
ФЛОРА-ИНВЕСТ ООО,15735.65,C
БерезаТранс АО (ГРУЗИЯ),15664.00,C
ГоркиМаш ООО (ТАДЖИКИСТАН),15538.04,C
МогилевКом АО (РОССИЯ),15509.71,C
ХИ-ЭНЕРГО ООО,15496.41,C
ИНТЕР-ЛОГИСТИК ООО,15444.00,C
ФЕРУС СПБ ООО,15333.49,C
ЛунинецКом ТОО (ТУРКМЕНИСТАН),15272.47,C
АЛЬФА-31 ООО,15120.00,C
"КАППА-ЭНЕРГО ООО, Ростов-на-Дону",15098.30,C
СтолинЭкспорт АО (УКРАИНА),14867.20,C
ЛиозноСервис АО (БЕЛАРУСЬ),14815.51,C
ВитебскСервис ТОО (АРМЕНИЯ),14553.60,C
РязаньТрейд ТОО (КАЗАХСТАН),14066.08,C
"ЭТА-ПЛЮС ООО, Челябинск",14011.21,C
АЛЬФА-29 ООО,13718.64,C
"ЛАМБДА-ЭНЕРГО ООО, Уфа",13610.83,C
МикашевичиПроект ООО (УЗБЕКИСТАН),13569.71,C
КалинковичиЭнерго ТОО (ТУРКМЕНИСТАН),13466.16,C
"ПСИ-ПРОМ ООО, Ярославль",13335.17,C
ФИ-ЭНЕРГО ООО,13253.96,C
КраснопольеКонсалт АО (ГРУЗИЯ),13074.65,C
УЛЬТРА-КОМ ООО,13038.32,C
КопыльМаш ООО (ТАДЖИКИСТАН),12900.00,C
ЛИДЕР-ТЕХ ООО,12887.63,C
КлимовичИндустрия АО (МОЛДОВА),12800.00,C
"НЮ-ПРОД ООО, Воронеж",12734.50,C
КСИ-ПЛЮС ООО,12630.96,C
ЛуганскСервис ООО (БЕЛОРУСЬ),12441.68,C
ОршаИнновации АО (БЕЛАРУСЬ),12438.66,C
ТАУ-ЭНЕРГО ООО,12430.69,C
ЧаусыКом АО (РОССИЯ),12294.62,C
ХотимскСтрой АО (БЕЛАРУСЬ),12277.65,C
КраснопольеКонсалт ООО (АЗЕРБАЙДЖАН),12140.86,C
МикашевичиМед АО (УКРАИНА),11963.16,C
"ООО ""ИННОВЕЛД""",11852.46,C
ЭКОНОМ-СТРОЙ ООО,11756.06,C
СлуцкТрейд АО (ГРУЗИЯ),11754.84,C
ТАУ-ИНЖ ООО,11705.10,C
"ЭТА-СТРОЙ ООО, Челябинск",11695.38,C
ШкловМаш АО (РОССИЯ),11600.00,C
КарачаевоЧеркесияИнновации АО,11358.89,C
"ПСИ-СТРОЙ ООО, Ярославль",11241.31,C
АлматыФинанс ТОО (АРМЕНИЯ),11165.62,C
АЛЬФА-22 ООО,11053.96,C
ТПП СИГМА ООО,10929.53,C
Арчединский комбинат хлебопродуктов,10708.93,C
ХОЗЯЙСТВО-ЭЛЕКТРО ООО,10461.55,C
ТЕХНО-ТОРГ ООО,10454.18,C
ХАБАРОВСК-СТРОЙ ООО,10364.40,C
ИПСИЛОН-КОМ ООО,10314.43,C
СтолбцыФарма АО (БЕЛАРУСЬ),10248.64,C
"ЗАО КБ ""ЛАДА-КРЕДИТ""",10125.36,C
ШкловФарма ООО (УЗБЕКИСТАН),10097.54,C
ФиФарма ОАО,10035.00,C
АЛЬФА-19 ООО,10027.82,C
КировскИндустрия ТОО (АРМЕНИЯ),9999.04,C
ЭТАПРОДУКТ ООО,9661.07,C
КомаринТрейд АО (ГРУЗИЯ),9308.93,C
"КАППА-СТРОЙ ООО, Ростов-на-Дону",9302.75,C
"ЗАО ""Новый век агротехнологий""",9261.84,C
ЮграПроект АО (РОССИЯ),9192.96,C
БыховТрейд ООО (БЕЛАРУСЬ),9126.46,C
БорисовМед ООО (БЕЛАРУСЬ),8598.99,C
АстраханьЛогистика ТОО,8591.04,C
СИГМА-ПРОМ ООО,8431.82,C
ШкловИндустрия ТОО (АРМЕНИЯ),8417.00,C
ГАММА-СТРОЙ ООО,8415.94,C
ГАММА-ПЛЮС ООО,8398.95,C
"ЗЕТА-ИНВЕСТ ООО, Казань",8206.80,C
КостюковичиФарма ООО (БЕЛАРУСЬ),8138.40,C
ПСИ-ЭЛЕКТРО ООО,7990.79,C
ЛиозноИнновации ТОО (КАЗАХСТАН),7833.44,C
НовополоцкТранс ТОО (КАЗАХСТАН),7576.63,C
ЧаусыЛогистика ООО (БЕЛОРУСЬ),7573.58,C
ПИ-ПРОМ ООО,7460.72,C
ИвацевичиСервис ООО (БЕЛАРУСЬ),7444.92,C
ЭХО-ПЛЮС ООО,7328.38,C
КобринКом АО (РОССИЯ),7328.38,C
КомаринМед ООО (УЗБЕКИСТАН),7325.00,C
КричевМаш АО (РОССИЯ),7255.92,C
