"Контрагент","Итого","max"
ЛюбаньПроект АО (БЕЛАРУСЬ),121344.84,C
"Точка света (ООО ""Альфа"")",121333.25,C
ШкловИнновации ООО (АЗЕРБАЙДЖАН),119568.00,C
РЕТРО ООО,119310.00,C
ЧериковСервис АО (БЕЛАРУСЬ),119062.91,C
СлавгородЛогистика ООО (БЕЛАРУСЬ),118702.17,C
ЛяховичиФарма ООО (БЕЛАРУСЬ),118277.54,C
АРТХАУС ООО,117992.00,C
БрагинСервис ООО (БЕЛОРУСЬ),117848.20,C
БерезаМед АО (УКРАИНА),117066.00,C
"ООО ""ИСМ-Технологии""",116410.73,C
ВерхнедвинскЭнерго АО (РОССИЯ),115920.00,C
"АО ""ЗАВОД АВТОСВЕТ""",114882.96,C
ТюменьСервис АО,114660.00,C
ПинскИндустрия ООО (БЕЛОРУСЬ),114419.20,C
СмоленскЭкспорт ООО (УЗБЕКИСТАН),112816.48,C
ТауТранспорт АО,112363.97,C
ДЕЛЬТА-КОМ ООО,112302.72,C
МикашевичиКонсалт АО (ГРУЗИЯ),111333.60,C
"ЗАО ""Новый век агротехнологий""",111110.30,C
БорисовЛогистика АО (БЕЛАРУСЬ),110413.10,C
БарановичиТрейд ТОО (КАЗАХСТАН),110149.58,C
СОЛНЦЕСТРОЙ ООО,110000.00,C
ШкловКом ТОО (БЕЛАРУСЬ),109825.98,C
ЧаусыМаш ООО (ТАДЖИКИСТАН),109792.80,C
ЛенаМед АО,109068.56,C
РОБУСТ ООО,108834.00,C
ПружаныИнвест АО (БЕЛАРУСЬ),108285.66,C
АЭЛИТА ООО,108016.10,C
ГанцевичиИнвест ООО (БЕЛАРУСЬ),107098.20,C
"ОАО ""СТБ""",107005.02,C
ЛюбаньИнновации ООО (БЕЛАРУСЬ),106156.08,C
ГлубокоеТрейд АО (БЕЛАРУСЬ),105968.12,C
ХабаровскИндустрия АО,105744.30,C
СлавгородМед АО (УКРАИНА),105237.00,C
ЭкваторСтроительство ТОО (АРМЕНИЯ),105206.40,C
СтарыеДорогиСервис ООО (БЕЛОРУСЬ),104862.48,C
БорисовСервис ООО (БЕЛАРУСЬ),104842.56,C
КлимовичФарма АО (БЕЛАРУСЬ),104574.31,C
ЛипецкПроект ТОО,104290.88,C
МиорыТранс ТОО (КАЗАХСТАН),104242.25,C
ЗапорожьеИнновации ООО (АЗЕРБАЙДЖАН),104234.88,C
СтолбцыТех АО (РОССИЯ),103598.23,C
НенецкийАОСервис ООО,103430.22,C
ЧаусыКом АО (БЕЛАРУСЬ),103411.21,C
БерезаИндустрия АО (БЕЛАРУСЬ),103393.48,C
ДубровноИндустрия АО (БЕЛАРУСЬ),102884.40,C
КиевТранс АО (ГРУЗИЯ),102586.81,C
КраснопольеСервис АО (БЕЛАРУСЬ),101818.81,C
ВерхнедвинскЭкспорт ТОО (БЕЛАРУСЬ),101504.70,C
НесвижЭнерго ООО (БЕЛАРУСЬ),101304.00,C
ВеткаЭнерго ООО (БЕЛАРУСЬ),101188.78,C
"ООО ""ЛИКСИР""",100584.00,C
СТОЛИЦА ООО,99890.10,C
ЛяховичиСервис АО (БЕЛАРУСЬ),99732.80,C
ОсиповичиТех ООО (БЕЛАРУСЬ),99404.88,C
РЕЗОНАНС ООО,99028.00,C
БетаТех АО,98978.18,C
ВитебскМед ТОО (БЕЛАРУСЬ),98280.00,C
"ООО ""АВИК""",97671.72,C
ИвановоИндустрия АО (БЕЛАРУСЬ),96768.00,C
"АКБ ""АДАМ ИНТЕРНЭШНЛ"" АО",96527.40,C
МогилевСтрой АО (БЕЛАРУСЬ),95950.56,C
КостюковичиИнвест ООО (БЕЛАРУСЬ),95199.26,C
ПСИ-СТРОЙ ООО,94400.00,C
УшачиЭнерго ООО (БЕЛАРУСЬ),94388.94,C
КлимовичСтрой ТОО (БЕЛАРУСЬ),93947.26,C
"ООО ""Внешпромторг""",93735.36,C
БрагинИнновации ООО (БЕЛАРУСЬ),93728.25,C
НесвижЭкспорт ТОО (БЕЛАРУСЬ),93387.60,C
НесвижИндустрия ООО (БЕЛАРУСЬ),93278.59,C
ФиннТрейд ТОО,93139.20,C
КлимовичиТех ТОО (ТУРКМЕНИСТАН),93060.00,C
СлуцкМед ООО (УЗБЕКИСТАН),92876.40,C
ТолочинИнвест АО (БЕЛАРУСЬ),91598.69,C
ВЕСТА-СТРОЙ ООО,91278.40,C
КлимовичиИнвест ООО (БЕЛАРУСЬ),90482.88,C
ВладивостокИнвест АО,90099.22,C
"АО ""АРХАНГЕЛЬСКИЙ ЦБК"", АЦБК",89929.40,C
КостюковичиСервис АО (БЕЛАРУСЬ),89376.14,C
КомаринЭнерго ООО (БЕЛАРУСЬ),88201.58,C
РоссоныИндустрия ООО (БЕЛАРУСЬ),87880.48,C
МогилевТех ТОО (ТУРКМЕНИСТАН),87784.19,C
ЦиклонМаш ООО (БЕЛОРУСЬ),87679.20,C
"ООО ""ПСК""",87574.53,C
КраснопольеЛогистика ООО (БЕЛАРУСЬ),87412.17,C
КызылордаИнвест АО (КАЗАХСТАН),86995.30,C
ЛунаСтроительство ТОО (КАЗАХСТАН),86784.48,C
ЕльскЭкспорт ТОО (БЕЛАРУСЬ),86656.63,C
УралЛогистика ТОО (КИРГИЗИЯ),86604.58,C
ДрогичинЭкспорт АО (БЕЛАРУСЬ),86443.20,C
ЭвенкияТех ТОО (КАЗАХСТАН),86184.00,C
СТРОЙСЕРВИС ООО,85962.00,C
МогилевЛогистика ООО (БЕЛОРУСЬ),85495.50,C
ГоркиМед ООО (БЕЛАРУСЬ),84702.08,C
КлимовичиСервис ООО (БЕЛОРУСЬ),84341.92,C
ЖемчугКом ОАО,84181.68,C
ЧериковФарма АО (УКРАИНА),83988.32,C
БорисовМед ООО (БЕЛАРУСЬ),83652.19,C
БалхашТрейд ООО (АЗЕРБАЙДЖАН),83627.40,C
МЮ-СТРОЙ ООО,83543.70,C
БраславФинанс АО (МОЛДОВА),83466.05,C
УстьКаменогорскЭнерго ТОО (ТУРКМЕНИСТАН),83389.19,C
ЖитковичиПроект АО (БЕЛАРУСЬ),83365.06,C
ЖитковичиКом АО (БЕЛАРУСЬ),83181.80,C
ГАЛА ООО,83129.50,C
ЮЖСТРОЙИНВЕСТ ООО,82568.06,C
МагаданТранс ОАО,82551.84,C
ВитебскИнновации ООО (БЕЛАРУСЬ),82519.30,C
СтолинСервис АО (БЕЛАРУСЬ),82186.01,C
БЕСТ-СТРОЙ ООО,81536.63,C
КарагандаФинанс АО (КАЗАХСТАН),81432.00,C
АндромедаПроект ООО (УЗБЕКИСТАН),81337.80,C
КраснопольеКонсалт АО (ГРУЗИЯ),80971.13,C
ГомельИнвест ТОО (БЕЛАРУСЬ),80190.00,C
ЕльскПроект ТОО (КИРГИЗИЯ),80170.56,C
"ООО ""СоюзРубин-Втормет""",79651.96,C
МстиславльЭкспорт АО (БЕЛАРУСЬ),78732.19,C
АстраханьИндустрия ООО (БЕЛОРУСЬ),77835.60,C
КлимовичиЛогистика ООО (БЕЛОРУСЬ),77490.00,C
НовополоцкКом АО (БЕЛАРУСЬ),76731.27,C
ТАНДЕМ ООО,75826.80,C
ЛуганскСервис ООО,75301.25,C
"ООО ""Атлантис""",75211.20,C
ПечораТранс ТОО (АРМЕНИЯ),75135.60,C
АдыгеяТех АО (РОССИЯ),74919.24,C
ХарьковТрейд ТОО (КАЗАХСТАН),74835.60,C
СенненскийИнвест АО (БЕЛАРУСЬ),74747.72,C
ЧашникиМаш ООО (ТАДЖИКИСТАН),73308.00,C
"АБ ""АСПЕКТ"" (АО)",73137.60,C
ЭпсилонЛогистика ТОО (КИРГИЗИЯ),71192.54,C
ПиИнновации АО,71115.96,C
АлтайИнвест АО,70771.68,C
"ООО ""ТПФ ""МашТрейд"", г. Череповец",70300.51,C
КабардиноБалкарияСервис ООО,70134.08,C
НесвижТранс ТОО (КАЗАХСТАН),70118.52,C
ЗаряТранс АО,69746.82,C
ЖигулиФинанс ООО,69646.96,C
ХантыМансийскТрейд ООО (АЗЕРБАЙДЖАН),68860.30,C
ВолгаСервис ООО (АЗЕРБАЙДЖАН),68756.04,C
ВеткаФарма АО (БЕЛАРУСЬ),68733.52,C
ВЕКТОР-СТРОЙ ООО,68689.56,C
МстиславльМед АО (УКРАИНА),68133.60,C
КостюковичиМаш АО (РОССИЯ),68057.78,C
ПолоцкТех ООО (ТАДЖИКИСТАН),67952.52,C
УДАЧА ООО,67711.40,C
ЧаусыТрейд ООО (БЕЛАРУСЬ),67438.71,C
ООО «Глобал Стандарт»,67343.35,C
СТРОЙДВОР ООО,67332.46,C
ДубровноФарма ТОО (КИРГИЗИЯ),66528.00,C
ПружаныЭкспорт ТОО (КИРГИЗИЯ),66420.00,C
МогилевМед ТОО (КИРГИЗИЯ),66373.98,C
"ООО ""КНАУФ ГИПС ДЗЕРЖИНСК""",66302.82,C
ОрелТех АО,66210.10,C
СевастопольТранс АО,65652.62,C
ЮГНЕФТЕПРОДУКТ ООО,65608.89,C
НЮ-ПРОД ООО,64883.90,C
ДрогичинЭнерго ТОО (БЕЛАРУСЬ),64633.96,C
ГЕНЕЗИС ООО,64155.00,C
ЧечерскТранс ТОО (КАЗАХСТАН),63715.80,C
СтолинТех ООО (БЕЛАРУСЬ),63302.40,C
"АКБ ""Акция"" ОАО",62605.90,C
"АО ""АВИАКОМПАНИЯ ""ВОСТОК""",62330.57,C
ЭКВАДОР ООО,62048.98,C
ХотимскИнновации ТОО (КАЗАХСТАН),61661.64,C
ГоркиКом ТОО (БЕЛАРУСЬ),61647.72,C
ХотимскЛогистика ООО (БЕЛАРУСЬ),61381.50,C
МогилевЭкспорт АО (БЕЛАРУСЬ),61256.16,C
НаровляЭкспорт ТОО (БЕЛАРУСЬ),61188.76,C
ОктябрьскийПроект АО (БЕЛАРУСЬ),61037.62,C
ЛунинецСервис АО (БЕЛАРУСЬ),60824.12,C
БыховТранс ООО (АЗЕРБАЙДЖАН),60740.22,C
ГлубокоеПроект ТОО (КИРГИЗИЯ),60559.20,C
ФОРСАЖ ООО,60444.44,C
САТУРН-СТРОЙ ООО,60088.00,C
ВитебскИнвест ООО (БЕЛАРУСЬ),59899.68,C
РудныйПроект ТОО (КИРГИЗИЯ),59864.69,C
УшачиИндустрия ООО (БЕЛОРУСЬ),59683.68,C
СемейЭкспорт АО (КАЗАХСТАН),59430.00,C
ЛиозноФарма ООО (УЗБЕКИСТАН),59270.40,C
ГродноКонсалт АО (ГРУЗИЯ),59210.76,C
ЭлистаИнвест АО,59171.76,C
"ОАО ""АВТОКОМБИНАТ N 31""",58943.02,C
"ООО Производственно-торговая фирма ""Авиатор""",58897.74,C
КамчаткаТрейд ООО (АЗЕРБАЙДЖАН),58860.72,C
ГорноалтайскЭкспорт ТОО (КИРГИЗИЯ),58740.48,C
МстиславльИнвест АО (БЕЛАРУСЬ),58216.80,C
ФиннКонсалт АО (МОЛДОВА),58190.40,C
ЛьвовЛогистика АО (МОЛДОВА),58103.16,C
"ООО ""Липецкая трубная компания ""Свободный сокол""",58027.14,C
ЧувашияТех ООО,57805.80,C
ЛуганскСервис АО (МОЛДОВА),57718.80,C
ТаразТранс ООО (АЗЕРБАЙДЖАН),57708.48,C
ОршаИнновации АО (БЕЛАРУСЬ),57591.66,C
ПлутонЭкспорт АО,57153.60,C
СтолбцыЭкспорт ТОО (БЕЛАРУСЬ),57112.87,C
ГлускИнновации ООО (БЕЛАРУСЬ),56866.68,C
УфаЛогистика АО (МОЛДОВА),56849.76,C
МстиславльТрейд ООО (БЕЛАРУСЬ),56654.97,C
БегемотТех АО,56246.37,C
ШкловФинанс ООО (БЕЛОРУСЬ),56052.00,C
СТРОЙТЕХНОЛОГИЯ ООО,55840.00,C
ТЕХНОЦЕНТР ООО,55804.30,C
"ООО ""АКСАИТОВНЕФТЬ""",55604.40,C
ПсиЛогистика ТОО (КАЗАХСТАН),55440.00,C
ОдессаИндустрия ООО,54997.42,C
МстиславльТрейд ТОО (КАЗАХСТАН),54958.82,C
"ООО ""предприятие Гиацинт"" 

",54941.64,C
СлавгородФарма ООО (БЕЛАРУСЬ),54691.44,C
ХИМИК ООО,54405.00,C
ХабаровскФарма ООО (АЗЕРБАЙДЖАН),54311.04,C
КобринТрейд ООО (БЕЛАРУСЬ),54255.17,C
КобринЛогистика ООО (БЕЛОРУСЬ),54000.00,C
АТЛАНТИДА ООО,53687.80,C
"ОАО АК ""УРАЛЬСКИЕ АВИАЛИНИИ""",53524.80,C
РАЗВИТИЕ-ТЕХ ООО,53500.00,C
СлуцкФарма АО (БЕЛАРУСЬ),53460.00,C
БарнаулТех ТОО,53392.92,C
ГанцевичиЛогистика ООО (БЕЛАРУСЬ),53371.84,C
ХИМСНАБ ООО,53192.00,C
АрктикаИнвест ТОО,52992.00,C
МогилевСервис АО (БЕЛАРУСЬ),52940.87,C
"ОАО ""А/К ""ВОРОНЕЖАВИА""",52783.20,C
СаратовТех АО,52667.84,C
ПолоцкЛогистика АО (МОЛДОВА),52492.30,C
ЭЛИТ-ТОРГ ООО,52117.31,C
ЛиозноТранс АО (ГРУЗИЯ),51723.84,C
МогилевИнновации АО (ГРУЗИЯ),51526.80,C
КостюковичиСервис ООО (БЕЛАРУСЬ),51085.80,C
ФЕРРОМЕТ ООО,50997.30,C
ХерсонТех ТОО (ТУРКМЕНИСТАН),50853.36,C
ЯкутскИнновации ТОО (КАЗАХСТАН),50721.64,C
ИвановоСтрой АО (БЕЛАРУСЬ),50528.80,C
ЦЕХ ООО,50225.18,C
ИвановоТрейд ООО (БЕЛАРУСЬ),50122.80,C
"ООО ""Амбилайф""",50024.15,C
БерезаТрейд ТОО (КАЗАХСТАН),49987.97,C
АГРОПРОМ ООО,49573.42,C
ДубровноИндустрия ТОО (АРМЕНИЯ),49469.33,C
ТуркестанТрейд ООО (КАЗАХСТАН),49451.04,C
ТАЛКА ООО,49247.00,C
ИркутскЭнерго ТОО (ТУРКМЕНИСТАН),49239.00,C
ШантарСтрой АО,49093.78,C
СОВРЕМЕННИК ООО,49060.00,C
ПермьСервис ТОО (АРМЕНИЯ),49053.60,C
ОктябрьскийТрейд АО (БЕЛАРУСЬ),49020.48,C
СлуцкИндустрия ООО (БЕЛАРУСЬ),48943.20,C
СтарыеДорогиИнновации ООО (БЕЛАРУСЬ),48914.12,C
ИвановоМаш АО (РОССИЯ),48730.32,C
ТауСервис ООО (АЗЕРБАЙДЖАН),48668.24,C
ЧебоксарыПром ОАО,48642.91,C
"ОАО ""АММОФОС""",48248.19,C
ОсиповичиКонсалт ООО (АЗЕРБАЙДЖАН),47775.12,C
КлимовичиЭнерго ТОО (БЕЛАРУСЬ),47543.87,C
ПолоцкТех ООО (БЕЛАРУСЬ),47290.08,C
УральскЭкспорт АО (УКРАИНА),47247.41,C
ФЕНИКС-СТРОЙ ООО,47016.00,C
"ООО ""Газпром добыча Астрахань""",46897.64,C
КАППАКОМП ООО,46761.90,C
УшачиИндустрия ООО (БЕЛАРУСЬ),46522.08,C
КировскЭнерго ТОО (БЕЛАРУСЬ),46433.52,C
ГлускЭкспорт ТОО (БЕЛАРУСЬ),46346.30,C
СевастопольСтрой ООО,46272.17,C
КомаринИнновации ТОО (КАЗАХСТАН),46070.07,C
ЛьвовЭкспорт ООО (УЗБЕКИСТАН),45734.40,C
АТОЛЛ ООО,45684.00,C
СолигорскПроект АО (УКРАИНА),45619.20,C
ПинскИнновации ООО (АЗЕРБАЙДЖАН),45616.11,C
СтолинКом АО (БЕЛАРУСЬ),45549.41,C
ПиФарма ООО (ТАДЖИКИСТАН),45250.32,C
СтарыеДорогиИндустрия ООО (БЕЛАРУСЬ),45108.00,C
ШкловИндустрия АО (БЕЛАРУСЬ),45000.00,C
ВеткаСтрой ТОО (БЕЛАРУСЬ),44777.69,C
КобринКом ТОО (БЕЛАРУСЬ),44442.00,C
ВОССТАНИЕ ООО,44249.20,C
МЮ-ЭНЕРГО ООО,44195.10,C
ТуровТрейд ООО (АЗЕРБАЙДЖАН),44127.79,C
КАППА-КОМ ООО,43986.00,C
ФОРТУНА-СТРОЙ ООО,43508.37,C
ЧаусыЭнерго ООО (ТАДЖИКИСТАН),43263.36,C
КУПЕЦ ООО,43262.96,C
ЧАЙКА ООО,43200.00,C
ГорноалтайскПроект ООО,42941.70,C
ВегаИнвест ООО,42670.80,C
ЖитковичиЛогистика АО (МОЛДОВА),42562.56,C
УшачиСтрой ТОО (БЕЛАРУСЬ),42228.00,C
МстиславльКом ТОО (БЕЛАРУСЬ),42181.71,C
СтолбцыЭнерго ООО (БЕЛАРУСЬ),42131.79,C
ЛяховичиКом АО (РОССИЯ),42120.00,C
ЛепельСтрой ТОО (БЕЛАРУСЬ),41977.15,C
ЮпитерСервис АО,41738.40,C
МурманскЭнерго ООО,41662.75,C
РязаньЭкспорт ТОО,41229.12,C
ТРИУМФ ООО,41013.90,C
КомаринЭкспорт АО (УКРАИНА),40824.00,C
СтолинЛогистика ООО (БЕЛАРУСЬ),40783.68,C
НовополоцкИнновации АО (ГРУЗИЯ),40664.40,C
КосмосКом ООО (БЕЛОРУСЬ),40593.60,C
МозырьТех ТОО (ТУРКМЕНИСТАН),40506.70,C
ДрогичинКонсалт ТОО (КАЗАХСТАН),40456.80,C
СтарыеДорогиЛогистика АО (МОЛДОВА),40424.40,C
"ООО ""ИННОВЕЛД""",40380.48,C
ХотимскПроект АО (УКРАИНА),40357.80,C
ХотимскИндустрия АО (БЕЛАРУСЬ),40320.00,C
"АО ""НАК ""АЗОТ""",40301.28,C
ТИТАН-СТРОЙ ООО,40284.00,C
АлтайФинанс АО (МОЛДОВА),39903.71,C
КиевФарма АО,39789.78,C
АмурФинанс ТОО (АРМЕНИЯ),39566.40,C
СТАУР ООО,39564.00,C
ЧечерскПроект ООО (УЗБЕКИСТАН),39557.28,C
БыховФарма ООО (БЕЛАРУСЬ),39469.93,C
МагаданКонсалт ТОО (КАЗАХСТАН),39426.48,C
ХотимскЭкспорт ООО (УЗБЕКИСТАН),38985.91,C
ЛиозноПроект ТОО (КИРГИЗИЯ),38844.00,C
ТЕХНОСТРОЙ ООО,38843.87,C
ГлускМаш ТОО (ТУРКМЕНИСТАН),38712.38,C
ЛунинецИнвест ООО (БЕЛАРУСЬ),38520.00,C
БорисовТранс ООО (АЗЕРБАЙДЖАН),38455.84,C
МогилевФарма ООО (БЕЛАРУСЬ),38332.32,C
БобруйскТех ООО (ТАДЖИКИСТАН),38195.90,C
МстиславльСтрой АО (БЕЛАРУСЬ),38006.40,C
ОсиповичиТранс АО (ГРУЗИЯ),37911.78,C
ЮНИОР ООО,37866.00,C
ЗЕТА-ТОРГ ООО,37799.10,C
АВТОГРАД ООО,37675.90,C
ЯмалМед ООО (УЗБЕКИСТАН),37584.00,C
ХИКОНСТРУКТ ООО,37382.34,C
НаровляИнновации ООО (БЕЛАРУСЬ),37350.60,C
ЧаусыКом АО (РОССИЯ),37301.07,C
СлавгородСервис АО (БЕЛАРУСЬ),37110.94,C
ГоркиИндустрия АО (БЕЛАРУСЬ),36923.14,C
ГлубокоеЭкспорт ТОО (БЕЛАРУСЬ),36868.20,C
УшачиСервис ООО (БЕЛАРУСЬ),36845.89,C
СахалинФинанс ООО,36837.91,C
КомиМед АО (УКРАИНА),36788.44,C
"ОАО ""ДАЛ""",36619.20,C
КарачаевоЧеркесияИнновации АО,36445.62,C
ЧаусыЭкспорт АО (БЕЛАРУСЬ),36388.42,C
ТуровКом АО (БЕЛАРУСЬ),36329.76,C
БетаИнвест ТОО (АРМЕНИЯ),36308.17,C
ПсковЛогистика ООО,36247.51,C
ПинскТех ООО (БЕЛАРУСЬ),36047.66,C
РоТехнологии ООО,36022.13,C
ЮграКом ОАО,35822.74,C
КостромаСервис АО,35400.31,C
УшачиЛогистика ТОО (АРМЕНИЯ),35199.36,C
СигмаИндустрия АО (МОЛДОВА),35145.65,C
НенецкийАОТранс ТОО (КАЗАХСТАН),35123.95,C
СОЮЗ ООО,34919.00,C
УдмуртияИнновации АО (ГРУЗИЯ),34800.00,C
СолигорскКом ООО (БЕЛАРУСЬ),34776.00,C
ГАЛС ООО,34672.19,C
"ООО ""ТеплоЭнергоСтройМонтаж""",34585.58,C
КарелияЭнерго ООО,34144.85,C
ГанцевичиСервис АО (БЕЛАРУСЬ),34009.92,C
ФиЭнерго АО (УКРАИНА),33883.20,C
РОСТ ООО,33797.00,C
ШкловЭкспорт АО (БЕЛАРУСЬ),33781.59,C
ЧериковСтрой АО (БЕЛАРУСЬ),33677.28,C
МогилевЛогистика ООО (БЕЛАРУСЬ),33400.08,C
ГАРПУН ООО,33396.00,C
РадугаСервис ТОО,33369.60,C
КостанайСервис АО (КАЗАХСТАН),33235.44,C
ОМЕГА-ЭНЕРГО ООО,33210.00,C
ДрогичинТрейд ООО (БЕЛАРУСЬ),33208.38,C
СИГМАПЛЮС ООО,33121.58,C
НаровляИндустрия ООО (БЕЛАРУСЬ),33120.86,C
ПинскИнвест ООО (БЕЛАРУСЬ),33003.94,C
ИвановоМед ООО (УЗБЕКИСТАН),32976.00,C
ЧайкаЭкспорт ТОО (КАЗАХСТАН),32659.20,C
"АО ""АККОНД""",32574.95,C
АстанаПроект ООО (УЗБЕКИСТАН),32513.93,C
АльфаСтрой ООО (УЗБЕКИСТАН),32366.25,C
ГЕЛИОС-СТРОЙ ООО,32360.00,C
АРОМАТ ООО,32359.20,C
ХОЛДИНГ ООО,32346.40,C
СтарыеДорогиТрейд АО (БЕЛАРУСЬ),32317.32,C
КостюковичиЭнерго ТОО (БЕЛАРУСЬ),32205.58,C
АВТОЗАПЧАСТЬ ООО,32182.70,C
ЖитковичиИнновации ООО (БЕЛАРУСЬ),32178.18,C
"АО ""АГД ДАЙМОНДС""",32168.64,C
"ПАО АКБ ""АВАНГАРД""",32131.86,C
ПсиПром АО,32015.60,C
МикашевичиЭнерго ООО (БЕЛАРУСЬ),32007.17,C
"ООО ""Аквилон"" ",31992.70,C
"АО АКБ ""МЕЖДУНАРОДНЫЙ ФИНАНСОВЫЙ КЛУБ""",31924.80,C
"ООО ""КРАН СТАНАРТ""",31810.00,C
ЖодиноИндустрия АО (МОЛДОВА),31771.08,C
ОршаКом ТОО (БЕЛАРУСЬ),31752.00,C
АДЕЛАИДА ООО,31656.76,C
СенненскийМед ООО (УЗБЕКИСТАН),31348.80,C
ТулаЭнерго ООО (ТАДЖИКИСТАН),31343.04,C
ДЕЛЬТАСЕРВИС ООО,31306.00,C
ДнепрМед ТОО,30888.00,C
ЖодиноФинанс ТОО (АРМЕНИЯ),30885.88,C
ЧаусыКом ТОО (БЕЛАРУСЬ),30877.93,C
ЧитаЭнерго ТОО,30661.20,C
ХотимскИнвест АО (БЕЛАРУСЬ),30401.28,C
ХаосЭнерго АО,30240.00,C
ПружаныИндустрия АО (БЕЛАРУСЬ),30240.00,C
ЛунинецСтрой АО (БЕЛАРУСЬ),30047.92,C
КостюковичиЭнерго ООО (БЕЛАРУСЬ),29822.52,C
ТуровМед ТОО (БЕЛАРУСЬ),29812.96,C
УстьКаменогорскПроект АО (КАЗАХСТАН),29743.20,C
КомиЛогистика ОАО,29721.60,C
МогилевЭкспорт ООО (УЗБЕКИСТАН),29426.40,C
ЭКОВОД ООО,28959.00,C
ТолочинМед ООО (БЕЛАРУСЬ),28939.96,C
ЧаусыСервис АО (БЕЛАРУСЬ),28866.37,C
БРИЛЛИАНТ ООО,28765.51,C
НИКА ООО,28533.75,C
АНТАРЕС-СТРОЙ ООО,28495.40,C
БУРЕВЕСТНИК ООО,28476.00,C
ТолочинКом ООО (ТАДЖИКИСТАН),28306.50,C
УдмуртияИндустрия ООО,28080.00,C
ЧаусыСтрой АО (БЕЛАРУСЬ),28018.65,C
"ОАО ""АЛТАЙКРАЙГАЗСЕРВИС""",27953.04,C
ДубровноТранс ООО (АЗЕРБАЙДЖАН),27926.40,C
ВерхнедвинскТрейд АО (БЕЛАРУСЬ),27827.42,C
ЗетаСервис АО,27811.80,C
ТЭТАТРАНС ООО,27365.30,C
ЭТАСЕРВИС ООО,27321.24,C
ЯНТАРЬ-СТРОЙ ООО,27273.00,C
НовосибирскФарма АО (РОССИЯ),27216.00,C
"АО ""АМЗ""",26913.60,C
ТуровМед ТОО (КИРГИЗИЯ),26888.59,C
ОктябрьскийТех ООО (БЕЛАРУСЬ),26723.52,C
БашкортостанКом ООО,26699.86,C
ОмскКонсалт АО,26509.21,C
НесвижТрейд АО (БЕЛАРУСЬ),26407.80,C
АРБАТ ООО,26345.60,C
КрымМед ООО,25986.91,C
ЕнисейКом АО (УКРАИНА),25898.74,C
"АО ""ВМП ""АВИТЕК""",25793.33,C
ХойникиПроект АО (БЕЛАРУСЬ),25681.03,C
ПолоцкЭкспорт ТОО (БЕЛАРУСЬ),25679.88,C
ИвановоЛогистика ООО (БЕЛАРУСЬ),25660.80,C
ДубровноМед ТОО (БЕЛАРУСЬ),25640.82,C
МстиславльТрейд АО (ГРУЗИЯ),25604.48,C
РоссоныСтрой ТОО (БЕЛАРУСЬ),25596.28,C
ЯмалФарма АО,25517.86,C
КричевТранс АО (ГРУЗИЯ),25514.41,C
СКАРАБЕЙ ООО,25450.00,C
Астраханский ГПЗ,25272.84,C
КостюковичиМед ООО (БЕЛАРУСЬ),25272.00,C
БегемотИнвест ТОО (АРМЕНИЯ),25261.92,C
АФИНА ООО,25161.24,C
НижнийНовгородКом ОАО,25143.51,C
БыховЭнерго ТОО (БЕЛАРУСЬ),25047.64,C
ЭЛЕГАНТ ООО,25036.08,C
ГомельЭнерго АО (РОССИЯ),25005.20,C
СеверСервис ООО,24997.46,C
ХотимскСтрой АО (БЕЛАРУСЬ),24889.78,C
КопыльЛогистика АО (БЕЛАРУСЬ),24882.40,C
ЧаусыИндустрия АО (МОЛДОВА),24840.00,C
КалмыкияИндустрия АО (МОЛДОВА),24728.04,C
АстраханьЛогистика ТОО,24296.17,C
ЮНИТ-СТРОЙ ООО,24266.78,C
ТуровПроект АО (БЕЛАРУСЬ),24181.00,C
КричевКом ООО (ТАДЖИКИСТАН),24160.22,C
СенненскийКом ТОО (БЕЛАРУСЬ),24094.80,C
БерезаТрейд ООО (БЕЛАРУСЬ),24021.62,C
МурманскИнновации ООО (АЗЕРБАЙДЖАН),23824.80,C
"АО ""АЗОВМЕЖРАЙГАЗ""",23755.18,C
КокшетауМед ООО (КАЗАХСТАН),23680.80,C
КлимовичиКонсалт ТОО (КАЗАХСТАН),23604.82,C
ТитанТрейд АО,23580.72,C
ДубровноЭкспорт АО (БЕЛАРУСЬ),23472.14,C
ГЛАДИАТОР ООО,23469.30,C
КалинковичиФарма АО (БЕЛАРУСЬ),23328.00,C
СлавгородСтрой АО (БЕЛАРУСЬ),23328.00,C
БраславИндустрия ООО (БЕЛАРУСЬ),23280.34,C
ГлускПроект АО (БЕЛАРУСЬ),23184.00,C
МиорыЭнерго ООО (БЕЛАРУСЬ),23170.75,C
ХотимскСтрой ТОО (БЕЛАРУСЬ),23080.89,C
ПСИТРАНС ООО,23066.70,C
УРАЛ-СТРОЙ ООО,23017.82,C
РудныйСтрой АО (КАЗАХСТАН),22831.20,C
ГаммаТех АО (ГРУЗИЯ),22831.20,C
ООО «ВЭЛДЭС»,22788.00,C
ГоркиИндустрия АО (МОЛДОВА),22744.80,C
ДубровноПроект АО (УКРАИНА),22704.73,C
"ООО ""АМТ Н.В.""",22680.00,C
ГоркиЭкспорт АО (БЕЛАРУСЬ),22603.80,C
ЛепельЛогистика АО (БЕЛАРУСЬ),22572.00,C
КостюковичиИндустрия ТОО (АРМЕНИЯ),22571.40,C
ПолоцкКом АО (БЕЛАРУСЬ),22505.40,C
СЕВЕР ООО,22381.00,C
ЧечерскСервис ООО (БЕЛАРУСЬ),21967.10,C
