"Отдел","Контрагент","Итого","cnt_first","cnt_second"
Трубка и РВД,КомиЛогистика ОАО,29721.60,4,0
Отдел труб и штоков,ПИОНЕР-СТРОЙ ООО,61319.46,1,1
Трубка и РВД,ГоркиМед ООО (БЕЛАРУСЬ),84702.08,0,1
Отдел труб и штоков,ЛАМБДА-ПРОД ООО,401.72,1,0
Трубка и РВД,СлуцкЭнерго ООО (БЕЛАРУСЬ),123873.84,3,1
Трубка и РВД,КлимовичиМед ТОО (БЕЛАРУСЬ),2111.76,1,0
Трубка и РВД,ЛунинецКом АО (БЕЛАРУСЬ),2649.60,0,1
Трубка и РВД,ДрогичинИндустрия АО (БЕЛАРУСЬ),16047.16,2,0
Трубка и РВД,БрагинФарма АО (БЕЛАРУСЬ),131276.52,1,1
Отдел труб и штоков,КостюковичиТех АО (РОССИЯ),1760096.60,5,2
Отдел труб и штоков,Андромеда ООО,271717.27,0,2
Трубка и РВД,АрктикаИнвест ТОО,52992.00,0,1
Трубка и РВД,ГорноалтайскЭкспорт ТОО (КИРГИЗИЯ),58740.48,2,2
Трубка и РВД,РечицаИндустрия ТОО (АРМЕНИЯ),2105.71,1,0
Трубка и РВД,КурскМаш ООО (ТАДЖИКИСТАН),385887.49,1,0
Трубка и РВД,ЗАО «Корпорация Малком» ,1128.93,1,0
Отдел труб и штоков,"ЙОТА-СТРОЙ ООО, Самара",74321.20,0,1
Трубка и РВД,КлимовичиКом АО (БЕЛАРУСЬ),7727.28,0,1
Трубка и РВД,Архангельский гидролизный завод,8864.28,1,0
Отдел труб и штоков,"КСИ-ПРОД ООО, Пермь",242.65,1,0
Отдел труб и штоков,ЛюбаньМед ООО (УЗБЕКИСТАН),67403.54,1,1
Отдел труб и штоков,"АО ""АТЛАНТРЫБФЛОТ""",1920.00,1,0
Отдел труб и штоков,ВеткаЛогистика ТОО (АРМЕНИЯ),50590.42,1,0
Трубка и РВД,ПружаныКом ТОО (БЕЛАРУСЬ),127431.36,0,1
Отдел труб и штоков,ОМЕГА-ПРОМ ООО,948023.25,5,4
Трубка и РВД,ДубровноСервис АО (БЕЛАРУСЬ),15186.00,1,0
Трубка и РВД,ПолоцкКом АО (БЕЛАРУСЬ),22505.40,1,0
Трубка и РВД,"ООО ТД ""Полимер Групп""",7419.24,2,0
Отдел труб и штоков,ЛюбаньПроект АО (БЕЛАРУСЬ),6533858.17,6,5
Отдел труб и штоков,КлимовичТех ТОО (ТУРКМЕНИСТАН),182964.03,1,1
Отдел труб и штоков,КсиЭкспорт ТОО,103982.80,0,1
Отдел труб и штоков,КировскФинанс ООО (БЕЛОРУСЬ),42296.70,3,2
Отдел труб и штоков,БерезаПроект ТОО (КИРГИЗИЯ),6077.38,1,0
Отдел труб и штоков,ЧериковЭнерго ООО (ТАДЖИКИСТАН),456347.86,6,4
Трубка и РВД,ХотимскЭнерго ТОО (БЕЛАРУСЬ),10242.72,1,0
Трубка и РВД,"АО ""ВМП ""АВИТЕК""",25793.33,1,0
Отдел труб и штоков,"АО ""АВИАКОР-АВИАЦИОННЫЙ ЗАВОД""",1481093.76,6,5
Трубка и РВД,ЧаусыЛогистика ООО (БЕЛАРУСЬ),4686.24,1,0
Трубка и РВД,ГлускСтрой ТОО (БЕЛАРУСЬ),8975.78,0,1
Трубка и РВД,ЛюбаньИнновации ТОО (КАЗАХСТАН),458316.00,2,2
Отдел труб и штоков,"АО ""АПАТИТ""",239070.00,4,2
Отдел труб и штоков,АЛЬФА-23 ООО,442602.23,3,1
Трубка и РВД,"ООО ""предприятие Гиацинт"" 

",54941.64,2,1
Трубка и РВД,"ОАО ""АВИАСТАР""",339977.88,1,1
Отдел труб и штоков,ХойникиТрейд АО (БЕЛАРУСЬ),10907889.49,5,4
Отдел труб и штоков,ДЕЛЬТА-ЭНЕРГО ООО,4812.48,1,0
Трубка и РВД,БраславПроект АО (БЕЛАРУСЬ),11598.48,1,0
Трубка и РВД,МогилевИндустрия АО (МОЛДОВА),479877.37,4,4
Трубка и РВД,БрагинИнновации ООО (БЕЛАРУСЬ),93728.25,4,4
Трубка и РВД,ЧайкаКом ОАО,15012.00,2,0
Трубка и РВД,Управление специальной связи по Липецкой области,178264.78,5,2
Трубка и РВД,КостанайЛогистика ООО (БЕЛОРУСЬ),9979.20,1,0
Трубка и РВД,КостюковичиЛогистика ООО (БЕЛАРУСЬ),2206780.60,4,4
Отдел труб и штоков,ЖодиноСтрой ТОО (БЕЛАРУСЬ),640231.95,4,3
Трубка и РВД,КемеровоМед ООО,741282.77,3,4
Трубка и РВД,КостюковичиМед ООО (УЗБЕКИСТАН),604807.60,1,2
Трубка и РВД,КобринИндустрия АО (БЕЛАРУСЬ),1172725.70,4,4
Трубка и РВД,"ООО ""Техпром""",13996.80,2,1
Трубка и РВД,ЯмалоНенецкийЛогистика ТОО (АРМЕНИЯ),16607.00,2,2
Трубка и РВД,НептунПроект ОАО,18184.80,0,1
Трубка и РВД,"ОАО ""Авиакомпания ""БАЛ""",17280.00,2,0
Трубка и РВД,ПсковФинанс ООО (БЕЛОРУСЬ),426513.60,1,1
Трубка и РВД,ДубровноМед ТОО (БЕЛАРУСЬ),25640.82,2,0
Отдел труб и штоков,ДонЭнерго ОАО,25280.40,2,2
Трубка и РВД,КобринЭкспорт АО (БЕЛАРУСЬ),11430.72,1,0
Отдел труб и штоков,"АО ""АВИАКОМПАНИЯ ""СИБИРЬ""",525816.30,4,4
Трубка и РВД,ЛиозноТех ООО (БЕЛАРУСЬ),3824.42,0,1
Трубка и РВД,БурятияТранс ОАО,2126.28,1,0
Трубка и РВД,ТаразТранс ООО (АЗЕРБАЙДЖАН),57708.48,1,1
Отдел труб и штоков,НесвижФарма АО (УКРАИНА),50974.09,2,2
Трубка и РВД,ЧашникиМаш ООО (ТАДЖИКИСТАН),73308.00,1,0
Трубка и РВД,ЛенаИндустрия АО (РОССИЯ),136895.87,1,0
Трубка и РВД,ЛьвовКом АО,8412.98,1,1
Отдел труб и штоков,ГанцевичиЛогистика ООО (БЕЛАРУСЬ),1789787.73,6,4
Трубка и РВД,КлимовичиИнновации АО (ГРУЗИЯ),512868.20,3,3
Трубка и РВД,БалхашТрейд ООО (АЗЕРБАЙДЖАН),83627.40,0,1
Отдел труб и штоков,"СИГМА-КОМ ООО, Тюмень",78020.60,1,0
Трубка и РВД,КобринЛогистика ООО (БЕЛОРУСЬ),54000.00,0,1
Трубка и РВД,ГаммаТех АО (ГРУЗИЯ),22831.20,1,0
Трубка и РВД,КостюковичиСтрой АО (БЕЛАРУСЬ),10301442.38,3,1
Трубка и РВД,Автоприбор (Владимир),17259.32,0,1
Отдел труб и штоков,ЛАМБДА-ПЛЮС ООО,84131.17,3,1
Отдел труб и штоков,АЛЬФА-9 ООО,936346.01,1,2
Трубка и РВД,ЯкорьЛогистика ООО,467287.83,0,4
Отдел труб и штоков,МЮ-СТРОЙ ООО,2865665.67,6,5
Отдел труб и штоков,БыховМед ТОО (КИРГИЗИЯ),147255.77,3,1
Отдел труб и штоков,ГАММА-ТОРГ ООО,4480131.21,6,4
Отдел труб и штоков,ЧаусыКом АО (РОССИЯ),12294.62,0,1
Трубка и РВД,ТолочинСервис ООО (БЕЛАРУСЬ),130355.21,0,3
Трубка и РВД,КричевКом ООО (ТАДЖИКИСТАН),24160.22,1,0
Трубка и РВД,"ООО КБ ""АЛЬБА АЛЬЯНС""",17126.61,0,1
Отдел труб и штоков,ЛАМБДА-ИНВЕСТ ООО,18335.65,1,0
Трубка и РВД,КлимовичиЭкспорт ООО (УЗБЕКИСТАН),1301479.20,1,4
Трубка и РВД,БарановичиИндустрия ТОО (БЕЛАРУСЬ),222762.60,6,4
Трубка и РВД,БрестЭнерго АО (БЕЛАРУСЬ),10513.80,1,0
Отдел труб и штоков,ЕльскМед ООО (УЗБЕКИСТАН),30894.73,1,1
Трубка и РВД,ЧашникиЭнерго АО (РОССИЯ),6944.40,0,1
Трубка и РВД,БелгородИнвест АО,18531.93,2,1
Трубка и РВД,ГродноКонсалт АО (ГРУЗИЯ),59210.76,1,0
Трубка и РВД,ЗапорожьеКонсалт ООО (АЗЕРБАЙДЖАН),3077.71,1,0
Трубка и РВД,ЛюбаньФарма АО (БЕЛАРУСЬ),21344.04,0,1
Трубка и РВД,АндромедаПроект ООО (УЗБЕКИСТАН),81337.80,2,1
Трубка и РВД,Еврогидросервис ТОО (КАЗАХСТАН),13464.00,1,0
Отдел труб и штоков,СТРОЙКОМ ООО,21895.95,1,2
Отдел труб и штоков,НесвижЭнерго ООО (БЕЛАРУСЬ),5548122.07,4,4
Отдел труб и штоков,ИНТЕР-ЛОГИСТИК ООО,15444.00,1,0
Трубка и РВД,ХарьковТрейд ТОО (КАЗАХСТАН),74835.60,0,1
Трубка и РВД,НесвижТрейд АО (БЕЛАРУСЬ),26407.80,1,0
Отдел труб и штоков,"ЙОТА-ПЛЮС ООО, Самара",414505.64,1,0
Трубка и РВД,ГлубокоеЭкспорт АО (УКРАИНА),14099.76,2,0
Трубка и РВД,ЛунинецСервис АО (БЕЛАРУСЬ),60824.12,1,0
Отдел труб и штоков,КарелияЭнерго ТОО (ТУРКМЕНИСТАН),3471793.21,5,3
Трубка и РВД,КопыльЛогистика АО (БЕЛАРУСЬ),24882.40,1,0
Трубка и РВД,ЖитковичиТех ООО (БЕЛАРУСЬ),624799.90,5,4
Отдел труб и штоков,НЮ-ПЛЮС ООО,648830.80,5,1
Отдел труб и штоков,ЕкатеринбургИндустрия АО (МОЛДОВА),43731.83,0,1
Отдел труб и штоков,СИГМА-ЭЛЕКТРО ООО,9358280.39,5,5
Трубка и РВД,ЮпитерЛогистика АО (ГРУЗИЯ),595679.76,2,3
Трубка и РВД,СенненскийСтрой ТОО (БЕЛАРУСЬ),258982.47,6,2
Трубка и РВД,ГлубокоеКонсалт ООО (АЗЕРБАЙДЖАН),344375.64,1,2
Трубка и РВД,ТолочинИнвест АО (БЕЛАРУСЬ),91598.69,0,1
Трубка и РВД,ОсиповичиЭнерго ООО (ТАДЖИКИСТАН),386106.30,0,1
Трубка и РВД,СтолинТранс АО (ГРУЗИЯ),4104.00,0,1
Трубка и РВД,ЛунинецМед ТОО (БЕЛАРУСЬ),2132.30,0,1
Трубка и РВД,МикашевичиЭнерго ООО (БЕЛАРУСЬ),32007.17,2,1
Трубка и РВД,ДонецкПроект АО,127477.57,4,3
Трубка и РВД,СигмаИндустрия АО (МОЛДОВА),35145.65,1,0
Отдел труб и штоков,ПСИ-СТРОЙ ООО,8775692.88,6,5
Трубка и РВД,ХерсонТрейд АО,1298.88,1,0
Трубка и РВД,НовополоцкТрейд ООО (АЗЕРБАЙДЖАН),220396.81,3,1
Отдел труб и штоков,КричевФинанс ООО (БЕЛОРУСЬ),1500.97,1,0
Трубка и РВД,ТатарстанКонсалт ТОО,254351.81,2,4
Трубка и РВД,"ОАО ""Авиакомпания ""Самара""",4896.00,0,2
Отдел труб и штоков,АЛЬФА-5 ООО,23514.39,2,1
Отдел труб и штоков,ГанцевичиТрейд ООО (АЗЕРБАЙДЖАН),1535781.36,2,1
Трубка и РВД,СевастопольСтрой ООО,46272.17,2,0
Трубка и РВД,"ООО ""ТиВолга""",5065.38,1,0
Трубка и РВД,ЯмалФарма АО,25517.86,2,1
Отдел труб и штоков,ОктябрьскийТранс ТОО (КАЗАХСТАН),1545.16,1,0
Трубка и РВД,РостовИнновации АО (ГРУЗИЯ),325794.14,4,5
Отдел труб и штоков,МикашевичиИнновации ООО (АЗЕРБАЙДЖАН),157595.67,5,2
Отдел труб и штоков,ОмегаТех АО (РОССИЯ),117841.20,4,2
Трубка и РВД,ВеткаФарма АО (БЕЛАРУСЬ),68733.52,0,1
Отдел труб и штоков,НовополоцкТрейд ООО (АЗЕРБАЙДЖАН),46389.23,3,0
Трубка и РВД,БрагинТрейд АО (БЕЛАРУСЬ),783317.56,3,1
Трубка и РВД,ОршаЭкспорт ТОО (КИРГИЗИЯ),16531.81,1,2
Отдел труб и штоков,ЧечерскСервис ООО (БЕЛАРУСЬ),541600.44,5,5
Трубка и РВД,АтырауИндустрия ООО (БЕЛОРУСЬ),138661.62,1,0
Трубка и РВД,СаратовТех ООО (ТАДЖИКИСТАН),5999.32,0,1
Трубка и РВД,ХакасияТех ООО (ТАДЖИКИСТАН),2153.28,1,0
Трубка и РВД,СтолбцыИндустрия ООО (БЕЛАРУСЬ),466812.14,3,2
Отдел труб и штоков,УшачиСервис АО (МОЛДОВА),5920.70,1,0
Отдел труб и штоков,КраснопольеКонсалт АО (ГРУЗИЯ),13074.65,1,1
Трубка и РВД,БорисовИнвест АО (БЕЛАРУСЬ),1235872.88,4,3
Трубка и РВД,ЙотаФинанс АО (УКРАИНА),5195.52,1,0
Трубка и РВД,ОмегаТех АО (РОССИЯ),217226.20,6,4
Трубка и РВД,ВитебскМед ТОО (БЕЛАРУСЬ),98280.00,1,0
Отдел труб и штоков,ЙОТА-ТОРГ ООО,151922.06,2,5
Трубка и РВД,ЦиклонМаш ООО (БЕЛОРУСЬ),87679.20,1,1
Отдел труб и штоков,КраснопольеФарма ООО (УЗБЕКИСТАН),95191.63,1,1
Отдел труб и штоков,АЛЬФА-7 ООО,48777.41,1,0
Трубка и РВД,КопыльФарма АО (БЕЛАРУСЬ),212181.72,2,0
Трубка и РВД,ИвановоМед ООО (УЗБЕКИСТАН),32976.00,1,0
Отдел труб и штоков,БарнаулТрейд АО (ГРУЗИЯ),738204.20,6,4
Трубка и РВД,ХерсонТех ТОО (ТУРКМЕНИСТАН),50853.36,0,1
Трубка и РВД,ЗапорожьеКонсалт ТОО,2500.06,1,0
Отдел труб и штоков,ВИКТОРИЯ-КОМ ООО,119459.12,2,2
Отдел труб и штоков,ПСИ-МАШ ООО,25577.28,2,0
Трубка и РВД,ЧериковСервис ТОО (АРМЕНИЯ),2541.90,1,0
Трубка и РВД,ШкловФарма ООО (БЕЛАРУСЬ),12153.60,2,0
Трубка и РВД,МагаданТранс ОАО,82551.84,1,2
Отдел труб и штоков,ВитебскСервис ТОО (АРМЕНИЯ),14553.60,1,0
Отдел труб и штоков,ОМЕГА-ТОРГ ООО,4110.11,1,0
Отдел труб и штоков,ОршаКонсалт АО (ГРУЗИЯ),3020477.88,6,2
Отдел труб и штоков,ЗАКАВКАЗЬЕ ООО,151298.99,1,1
Трубка и РВД,ГанцевичиКонсалт ТОО (КАЗАХСТАН),15563.49,0,1
Трубка и РВД,БобруйскПроект АО (БЕЛАРУСЬ),5421.72,1,0
Трубка и РВД,ДрогичинКом ТОО (БЕЛАРУСЬ),179928.00,4,0
Трубка и РВД,ОмегаКонсалт ТОО,8202.24,1,0
Трубка и РВД,ИвановоТрейд ООО (БЕЛАРУСЬ),50122.80,1,0
Трубка и РВД,УльяновскТрейд ОАО,327406.60,5,3
Трубка и РВД,СлуцкЛогистика АО (БЕЛАРУСЬ),2759.74,1,0
Трубка и РВД,КалугаМед ООО,381016.18,5,3
Трубка и РВД,ЧаусыСервис ООО (БЕЛАРУСЬ),16356.96,1,0
Трубка и РВД,ДубровноМед ООО (БЕЛАРУСЬ),1363359.77,3,4
Отдел труб и штоков,БраславТех АО (РОССИЯ),31491.00,0,1
Трубка и РВД,РоТехнологии ООО,36022.13,2,0
Отдел труб и штоков,ЙОТА-СТРОЙ ООО,674384.11,6,5
Отдел труб и штоков,ЭпсилонМаш ОАО,9872285.45,6,5
Отдел труб и штоков,БЕТА-МАШ ООО,859059.59,6,5
Трубка и РВД,ПружаныТрейд ООО (БЕЛАРУСЬ),248810.04,5,5
Отдел труб и штоков,ГАЗ-ПРОМ ООО,169973.33,4,2
Трубка и РВД,"ООО КБ ""КАПИТАЛ КРЕДИТ""",5140.80,1,0
Трубка и РВД,"ООО ""НПО «Ликом»""",6195.46,1,0
Трубка и РВД,ТываТрейд АО,127408.98,3,1
Отдел труб и штоков,КобринСервис ТОО (АРМЕНИЯ),205660.43,2,1
Отдел труб и штоков,МикашевичиИнвест АО (БЕЛАРУСЬ),42426.17,2,0
Отдел труб и штоков,СтолинТранс АО (ГРУЗИЯ),182939.34,4,1
Трубка и РВД,ЭкваторСтроительство ТОО (АРМЕНИЯ),105206.40,0,1
Трубка и РВД,СлуцкФарма АО (БЕЛАРУСЬ),53460.00,1,0
Отдел труб и штоков,ЙОТА-ЭНЕРГО ООО,15910.41,1,0
Трубка и РВД,ЧечерскСервис ООО (БЕЛАРУСЬ),21967.10,2,0
Трубка и РВД,ОсиповичиМед ТОО (БЕЛАРУСЬ),228267.73,2,4
Отдел труб и штоков,КраснопольеИнновации ООО (АЗЕРБАЙДЖАН),2760.00,1,1
Трубка и РВД,МогилевТех ТОО (ТУРКМЕНИСТАН),87784.19,4,2
Трубка и РВД,БерезаСтрой АО (БЕЛАРУСЬ),17696901.96,3,0
Отдел труб и штоков,БетаИнвест ТОО (АРМЕНИЯ),31550.62,3,0
Трубка и РВД,СлавгородСервис АО (БЕЛАРУСЬ),37110.94,2,1
Трубка и РВД,МогилевСтрой АО (БЕЛАРУСЬ),95950.56,1,0
Трубка и РВД,СтавропольТрейд АО,8748.00,1,0
Отдел труб и штоков,ГоркиЭкспорт АО (БЕЛАРУСЬ),29085.07,2,2
Отдел труб и штоков,ЛуганскСервис АО (МОЛДОВА),288667.74,4,5
Трубка и РВД,МикашевичиСтрой ТОО (БЕЛАРУСЬ),9424.42,1,0
Отдел труб и штоков,"КАППА-ПЛЮС ООО, Ростов-на-Дону",64622.16,1,1
Трубка и РВД,СтолинИнвест ООО (БЕЛАРУСЬ),11152.08,1,0
Отдел труб и штоков,ХИМ-ПРОМ Екатеринбург ООО,72337.46,2,0
Трубка и РВД,НовополоцкЭкспорт АО (БЕЛАРУСЬ),5054.40,1,0
Трубка и РВД,ЦиклонМаш ООО,541.41,0,1
Трубка и РВД,"ПАО АКБ ""АВАНГАРД""",32131.86,0,1
Отдел труб и штоков,"ООО ""НПО «Ликом»""",542245.53,6,2
Отдел труб и штоков,КызылордаКом ТОО (ТУРКМЕНИСТАН),648252.01,2,0
Отдел труб и штоков,МЕТРО-ЭНЕРГО ООО,28480.24,2,0
Трубка и РВД,"ОАО ""Холсим (Рус)""",835053.41,2,2
Трубка и РВД,ООО «ЭКСЕРГИЯ-Л»,7613.28,1,0
Отдел труб и штоков,БелгородТранс ТОО (КАЗАХСТАН),181389.09,1,2
Трубка и РВД,ОктябрьскийФарма АО (УКРАИНА),6132.00,0,1
Трубка и РВД,НовополоцкЭкспорт ТОО (БЕЛАРУСЬ),292447.38,2,2
Отдел труб и штоков,КостюковичиФарма ТОО (КИРГИЗИЯ),1155.00,0,1
Трубка и РВД,ИвановоФинанс ООО (БЕЛОРУСЬ),18505.31,1,0
Трубка и РВД,СенненскийМед ООО (БЕЛАРУСЬ),8467.20,0,1
Отдел труб и штоков,ТПП СИГМА ООО,10929.53,1,1
Трубка и РВД,КраснопольеЭкспорт АО (БЕЛАРУСЬ),2683.69,0,1
Трубка и РВД,ВеткаИндустрия ООО (БЕЛАРУСЬ),1072812.05,2,1
Трубка и РВД,СтолинЛогистика ООО (БЕЛАРУСЬ),40783.68,1,0
Отдел труб и штоков,КлимовичМаш ООО (ТАДЖИКИСТАН),143144.98,4,4
Трубка и РВД,"ООО ""КРАН СТАНАРТ""",31810.00,1,0
Трубка и РВД,ПинскСервис АО (БЕЛАРУСЬ),903895.43,5,2
Трубка и РВД,ПавлодарИнновации ООО (КАЗАХСТАН),16236.00,1,0
Трубка и РВД,ЮжноСахалинскЛогистика ООО,140176.29,2,2
Отдел труб и штоков,БЕТА-ТОРГ ООО,18880.62,0,1
Трубка и РВД,ООО «М-Траст»,499305.76,4,3
Трубка и РВД,ХантыМансийскТрейд ООО (АЗЕРБАЙДЖАН),68860.30,1,0
Трубка и РВД,БашкортостанПроект ООО (УЗБЕКИСТАН),963.88,0,1
Отдел труб и штоков,УФА-СТРОЙ ООО,416522.13,2,1
Трубка и РВД,ГоркиКом ТОО (БЕЛАРУСЬ),61647.72,0,1
Трубка и РВД,НесвижФарма АО (УКРАИНА),135496.43,2,1
Отдел труб и штоков,ЦИТАДЕЛЬ-СТРОЙ ООО,31538.99,1,0
Трубка и РВД,ПинскПроект АО (БЕЛАРУСЬ),8021.16,0,1
Трубка и РВД,ЧаусыМед ТОО (БЕЛАРУСЬ),14960.40,2,0
Отдел труб и штоков,ПРИМОРЬЕ-ИНВЕСТ ООО,99319.24,1,0
Трубка и РВД,ЭпсилонЛогистика ТОО (КИРГИЗИЯ),71192.54,1,0
Трубка и РВД,ЛуганскЭкспорт ООО,18557.21,1,0
Трубка и РВД,КосмосКом ООО (БЕЛОРУСЬ),40593.60,1,0
Отдел труб и штоков,ДрогичинЭкспорт АО (БЕЛАРУСЬ),58200.77,0,1
Отдел труб и штоков,КалинковичиСервис АО (МОЛДОВА),81937.64,1,0
Отдел труб и штоков,МогилевЭнерго ООО (ТАДЖИКИСТАН),266372.09,3,3
Отдел труб и штоков,ШкловЭкспорт ТОО (КИРГИЗИЯ),3467.89,0,1
Трубка и РВД,БрагинЭкспорт ТОО (БЕЛАРУСЬ),158366.59,0,2
Отдел труб и штоков,СенненскийПроект АО (УКРАИНА),1800.00,1,0
Отдел труб и штоков,ГлускТех АО (РОССИЯ),5062.88,1,0
Трубка и РВД,КомаринЭнерго ООО (БЕЛАРУСЬ),88201.58,1,1
Отдел труб и штоков,УдмуртияИндустрия ООО,318377.63,3,2
Трубка и РВД,КомаринСтрой ТОО (БЕЛАРУСЬ),15338.30,1,0
Трубка и РВД,КраснопольеКонсалт АО (ГРУЗИЯ),80971.13,4,0
Трубка и РВД,"АО ""АВИАКОР-АВИАЦИОННЫЙ ЗАВОД""",670051.84,5,2
Отдел труб и штоков,ОМИКРОН-ТОРГ ООО,44502.93,1,0
Отдел труб и штоков,НовосибирскИнновации ООО,749937.77,4,5
Трубка и РВД,ЧериковФарма АО (УКРАИНА),83988.32,0,3
Трубка и РВД,Арчединский комбинат хлебопродуктов,347336.91,5,3
Отдел труб и штоков,ЕнисейКом АО (УКРАИНА),79028.66,2,4
Отдел труб и штоков,ДонецкФарма ТОО (КИРГИЗИЯ),33272.40,1,1
Отдел труб и штоков,БобруйскСервис ООО (БЕЛОРУСЬ),553544.06,1,1
Трубка и РВД,"ООО ""ГАЛАКТИКА""",4406.40,1,0
Трубка и РВД,ПолоцкКом ТОО (ТУРКМЕНИСТАН),19297.80,0,1
Отдел труб и штоков,ОсиповичиПроект ТОО (КИРГИЗИЯ),281134.21,0,2
Трубка и РВД,"ООО ""ЭЛИТСТРОЙ""",8769.60,0,1
Отдел труб и штоков,БерезаТранс АО (ГРУЗИЯ),15664.00,1,0
Отдел труб и штоков,ФениксТранс ТОО (ТУРКМЕНИСТАН),421114.69,0,1
Отдел труб и штоков,РО-МАШ ООО,2632479.79,6,3
Отдел труб и штоков,ТЕТА-КОМ ООО,953615.10,6,5
Отдел труб и штоков,ДрогичинСтрой АО (БЕЛАРУСЬ),27044271.49,5,1
Трубка и РВД,МогилевМед ТОО (БЕЛАРУСЬ),146971.68,3,0
Отдел труб и штоков,"ТАУ-ТОРГ ООО, Тольятти",2398127.88,0,3
Трубка и РВД,МогилевИнвест ООО (БЕЛАРУСЬ),8126.30,0,2
Трубка и РВД,КлимовичиИндустрия АО (БЕЛАРУСЬ),159637.26,1,2
Трубка и РВД,ДельтаПроект ООО,2300.55,0,1
Отдел труб и штоков,МстиславльФарма ТОО (КИРГИЗИЯ),56092.57,1,0
Трубка и РВД,КировскФинанс ООО (БЕЛОРУСЬ),13878.72,1,0
Трубка и РВД,ИпсилонТранс ТОО (ТУРКМЕНИСТАН),1782664.66,5,1
Трубка и РВД,ЧериковЛогистика ООО (БЕЛАРУСЬ),721092.93,4,5
Трубка и РВД,МордовияКонсалт ТОО (КАЗАХСТАН),240731.97,3,2
Трубка и РВД,МстиславльИнвест АО (БЕЛАРУСЬ),58216.80,3,1
Трубка и РВД,ДраконЭкспорт ТОО (КИРГИЗИЯ),1031648.71,5,1
Отдел труб и штоков,ЯкорьИнновации ООО (ТАДЖИКИСТАН),1087824.40,3,2
Отдел труб и штоков,ЛАМБДА-СТРОЙ ООО,868852.29,6,5
Отдел труб и штоков,ГлубокоеИнновации ТОО (КАЗАХСТАН),63699.38,1,0
Трубка и РВД,МогилевИндустрия АО (БЕЛАРУСЬ),7775.70,1,0
Отдел труб и штоков,ХИ-ИНЖ ООО,1391198.38,6,5
Трубка и РВД,ВолгаТех ООО,3598.56,1,0
Отдел труб и штоков,"ИПСИЛОН-ИНЖ ООО, Ижевск",6497.62,1,1
Отдел труб и штоков,МЮ-ИНВЕСТ ООО,152980.73,1,1
Отдел труб и штоков,КАППА-МАШ ООО,6936.00,1,0
Трубка и РВД,РудныйСтрой АО (КАЗАХСТАН),22831.20,0,1
Отдел труб и штоков,АЛЬФА-30 ООО,188751.95,0,1
Отдел труб и штоков,ПолоцкСервис ООО (БЕЛОРУСЬ),2220.00,0,1
Трубка и РВД,КаппаКом ООО (БЕЛОРУСЬ),169140.00,1,0
Трубка и РВД,ВеткаСтрой ТОО (БЕЛАРУСЬ),44777.69,1,1
Отдел труб и штоков,ОМИКРОН-ИНВЕСТ ООО,1315689.93,6,5
Отдел труб и штоков,"ООО ""Объединенная технологическая корпорация""",1578850.11,4,2
Трубка и РВД,МинскСтрой ООО (БЕЛАРУСЬ),183312.00,0,1
Отдел труб и штоков,АЛЬФА-26 ООО,772092.10,1,0
Отдел труб и штоков,АВТОПРОМ Москва ООО,1295.30,1,0
Трубка и РВД,ЕльскИнновации ООО (БЕЛАРУСЬ),19882.08,0,1
Отдел труб и штоков,ШкловМед АО (УКРАИНА),230174.41,2,4
Трубка и РВД,ИнгушетияМед АО,230.90,0,1
Отдел труб и штоков,ГАММА-СТРОЙ ООО,8415.94,1,0
Трубка и РВД,ГлускКом АО (БЕЛАРУСЬ),4226.16,1,0
Отдел труб и штоков,"ФИ-ПРОМ ООО, Барнаул",212959.85,1,0
Трубка и РВД,ПетропавловскКом ТОО (КАЗАХСТАН),4294.42,0,1
Отдел труб и штоков,КызылордаИнвест АО (КАЗАХСТАН),6160969.90,5,5
Трубка и РВД,ЖодиноКом ТОО (БЕЛАРУСЬ),1578.60,0,1
Трубка и РВД,БорисовЛогистика АО (БЕЛАРУСЬ),110413.10,0,2
Отдел труб и штоков,КАВКАЗ-СТРОЙ ООО,285855.36,2,4
Трубка и РВД,"ЗАО ""АВИАТЕХНОЛОГИЯ""",259872.50,5,5
Отдел труб и штоков,"СИГМА-ЭЛЕКТРО ООО, Тюмень",206932.22,1,1
Отдел труб и штоков,ОктябрьскийКом АО (БЕЛАРУСЬ),2637408.02,6,5
Трубка и РВД,А-Реал Консалтинг,5548.20,1,0
Трубка и РВД,ШкловТрейд ООО (БЕЛАРУСЬ),535505.44,2,0
Трубка и РВД,ЛяховичиЛогистика ООО (БЕЛАРУСЬ),9720.00,1,0
Трубка и РВД,ЖитковичиЭкспорт ТОО (БЕЛАРУСЬ),4416.00,0,1
Отдел труб и штоков,КопыльТрейд АО (БЕЛАРУСЬ),2792989.01,6,4
Трубка и РВД,ЭкибастузЭнерго ТОО (КАЗАХСТАН),6014.02,1,0
Трубка и РВД,КлимовичиСтрой АО (БЕЛАРУСЬ),4555.80,0,1
Трубка и РВД,КостюковичиФарма ООО (БЕЛАРУСЬ),3728.65,1,1
Отдел труб и штоков,ЧашникиИндустрия АО (МОЛДОВА),33535.98,1,0
Трубка и РВД,КалугаЛогистика ТОО (АРМЕНИЯ),887966.74,2,1
Трубка и РВД,КричевЭкспорт АО (БЕЛАРУСЬ),1101475.92,5,3
Трубка и РВД,"ООО ""КНАУФ ГИПС ДЗЕРЖИНСК""",66302.82,2,0
